Serial_number Axis Date Time Old_Cal_Offset New_Cal_Offset Diff_Cal_Offset
14kL-500407 1 2016-06-12 17:17:55 5.67640 4.28480 -1.39160
14kL-500407 2 2016-06-12 17:18:16 4.68740 3.23840 -1.44900
14kL-500407 3 2016-06-12 17:18:43 4.70570 3.13880 -1.56690
14kL-500407 4 2016-06-12 17:19:15 2.99310 2.73520 -0.25790
14kL-500407 5 2016-06-12 17:20:04 3.93920 5.06330 1.12410
14kL-500407 6 2016-06-12 17:20:32 0.55180 6.08080 5.52900
14kL-500407 7 2016-06-12 17:20:59 1.33630 6.14050 4.80420
14kR-500407 1 2016-06-12 17:37:16 4.37310 5.90240 1.52930
14kR-500407 2 2016-06-12 17:37:37 5.52190 5.01880 -0.50310
14kR-500407 3 2016-06-12 17:38:03 1.54140 2.92760 1.38620
14kR-500407 4 2016-06-12 17:38:33 4.00510 5.71060 1.70550
14kR-500407 5 2016-06-12 17:39:22 3.05790 4.06910 1.01120
14kR-500407 6 2016-06-12 17:39:51 0.94830 4.05410 3.10580
14kR-500407 7 2016-06-12 17:40:16 2.84210 2.63840 -0.20370
